,zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
0,02366,PO BOX,South Carver,,Carver,MA,Plymouth County,America/New_York,508,41.83,-70.72,,US,0,0,
1,04863,STANDARD,Vinalhaven,,,ME,Knox County,America/New_York,207,44.04,-68.83,,US,0,1016,
2,07188,UNIQUE,Newark,,Jp Morgan Chase,NJ,Essex County,America/New_York,862,40.72,-74.17,,US,0,0,
3,16406,STANDARD,Conneautville,,,PA,Crawford County,America/New_York,814,41.75,-80.36,,US,0,2770,
4,17229,STANDARD,Hustontown,,Hustontwn,PA,Fulton County,America/New_York,"717,814",40.03,-78.01,,US,0,1060,
5,20579,UNIQUE,Washington,,Foreign Claims Settlement,DC,District of Columbia,America/New_York,202,38.89,-77.03,,US,0,0,
6,22643,STANDARD,Markham,,,VA,Fauquier County,America/New_York,540,38.9,-78.0,,US,0,0,
7,23140,STANDARD,Providence Forge,Provdence Frg,,VA,New Kent County,America/New_York,804,37.44,-77.04,,US,0,4482,
8,23415,STANDARD,New Church,,,VA,Accomack County,America/New_York,757,37.97,-75.53,,US,0,1184,
9,24050,UNIQUE,Roanoke,,Hanover Direct,VA,Roanoke City,America/New_York,540,37.27,-79.95,,US,0,0,
10,25206,STANDARD,Van,,,WV,Boone County,America/New_York,304,37.95,-81.69,,US,0,0,
11,26003,STANDARD,Wheeling,"Bethlehem, Elm Grove, Mozart, Overbrook, Warwood",,WV,Ohio County,America/New_York,"304,740",40.07,-80.69,,US,0,34338,
12,28227,STANDARD,Charlotte,Mint Hill,,NC,Mecklenburg County,America/New_York,704,35.19,-80.83,,US,0,39554,
13,30540,STANDARD,Ellijay,East Ellijay,,GA,Gilmer County,America/New_York,"678,706",34.69,-84.48,,US,0,12728,
14,31525,STANDARD,Brunswick,,"Everett, Sterling, Thalman",GA,Glynn County,America/New_York,912,31.32,-81.53,,US,0,21149,
15,31539,STANDARD,Hazlehurst,,Roper,GA,Jeff Davis County,America/New_York,912,31.86,-82.59,,US,0,9967,
16,31832,STANDARD,Weston,,,GA,Webster County,America/New_York,229,31.97,-84.61,,US,0,0,
17,32702,STANDARD,Altoona,,,FL,Marion County,America/New_York,352,29.04,-81.59,,US,0,2437,
18,32839,STANDARD,Orlando,"Edgewood, Pine Castle",,FL,Orange County,America/New_York,"407,321",28.5,-81.37,,US,0,34769,
19,35630,STANDARD,Florence,Saint Florian,North Florence,AL,Lauderdale County,America/Chicago,256,34.82,-87.66,,US,0,21502,
20,35902,PO BOX,Gadsden,,,AL,Etowah County,America/Chicago,256,34.01,-86.01,,US,0,931,
21,37699,UNIQUE,Piney Flats,,Home Shopping Network,TN,Sullivan County,America/New_York,423,36.44,-82.34,,US,0,0,
22,38061,STANDARD,Pocahontas,,Essary Springs,TN,McNairy County,,731,35.05,-88.81,,US,0,755,
23,39747,STANDARD,Kilmichael,,"Hendrix, Poplar Creek, Poplar Springs, Sibleton",MS,Montgomery County,America/Chicago,662,33.43,-89.56,,US,0,1378,
24,43054,STANDARD,New Albany,,,OH,Franklin County,America/New_York,614,40.07,-82.8,,US,0,17470,
25,46162,STANDARD,Needham,,,IN,Johnson County,America/Indiana/Indianapolis,317,39.48,-85.99,,US,0,468,
26,47524,STANDARD,Decker,,,IN,Knox County,America/Indiana/Vincennes,812,38.51,-87.52,,US,0,0,
27,48730,STANDARD,East Tawas,,,MI,Iosco County,America/Detroit,989,44.28,-83.48,,US,0,3876,
28,50106,STANDARD,Gilman,,,IA,Marshall County,America/Chicago,641,41.87,-92.78,,US,0,980,
29,50421,STANDARD,Belmond,,,IA,Wright County,America/Chicago,"641,515",42.84,-93.6,,US,0,2593,
30,57014,STANDARD,Centerville,,Dalesburg,SD,Turner County,,605,43.11,-96.95,,US,0,1320,
31,57658,STANDARD,Wakpala,,Standing Rock,SD,Corson County,America/Denver,605,45.65,-100.53,,US,0,0,
32,58854,STANDARD,Watford City,,"Watford Cty, Watford Cy",ND,McKenzie County,,701,47.8,-103.27,,US,0,2375,
33,62306,PO BOX,Quincy,,,IL,Adams County,America/Chicago,217,39.93,-91.38,,US,0,0,
34,70656,STANDARD,Pitkin,Fullerton,,LA,Vernon Parish,America/Chicago,"318,337",30.93,-92.93,,US,0,2780,
35,70763,STANDARD,Paulina,,,LA,St James Parish,America/Chicago,225,30.08,-90.77,,US,0,2974,
36,76123,STANDARD,Fort Worth,Ft Worth,,TX,Tarrant County,America/Chicago,817,32.75,-97.33,,US,0,23351,
